mean,std,min,max,all
59.411,0.644,58.693,60.489,72.083
59.885,0.859,58.405,60.776,53.333
59.483,0.778,58.477,60.776,81.25
59.181,0.553,58.477,60.057,91.667
60.632,0.547,59.77,61.135,35.833
60.833,0.878,59.555,62.141,35.833
59.727,1.253,58.549,62.141,66.667
59.698,1.054,58.549,61.638,75.417
61.221,1.165,60.273,63.362,35.0
60.79,1.305,59.555,63.218,35.833
61.336,1.285,59.77,63.649,20.833
59.77,0.917,58.549,61.135,73.75
61.552,0.965,60.273,62.5,16.25
60.805,0.673,59.986,61.853,24.583
59.569,0.827,58.908,61.135,82.083
60.632,0.827,59.842,61.925,39.583
59.052,0.778,58.19,60.273,91.25
59.483,0.77,58.477,60.776,69.583
59.684,0.678,58.693,60.417,76.25
59.526,0.669,58.405,60.417,81.25
60.029,0.482,59.267,60.776,65.0
61.609,0.806,60.201,62.716,28.333
59.971,0.876,58.908,61.351,67.917
59.253,0.678,58.549,60.489,83.75
60.891,0.415,60.417,61.638,39.583
60.905,0.786,60.129,62.356,36.667
60.474,0.548,59.77,61.422,45.0
60.862,0.691,59.77,61.71,45.833
60.474,0.755,59.339,61.638,43.333
60.661,0.544,60.129,61.566,43.75
60.247,0.8,59.262,61.516,55.25
