mean,std,min,max,all
80.417,1.373,77.73,81.609,74.583
80.92,1.642,78.017,82.759,35.417
80.56,0.348,79.957,81.034,69.167
80.345,1.01,78.807,81.753,90.417
81.006,1.325,78.879,82.256,32.917
81.853,1.184,79.957,82.902,37.083
81.322,1.185,79.741,82.471,64.583
80.546,1.261,78.592,82.04,78.75
82.098,0.813,81.106,83.549,34.167
80.704,1.494,79.454,83.549,34.167
81.695,1.027,80.532,83.621,21.25
80.115,0.945,78.951,81.537,45.417
81.48,0.285,80.963,81.825,18.333
80.833,0.614,80.316,82.04,27.5
80.23,0.527,79.454,80.819,78.333
79.856,0.893,78.376,81.034,41.667
80.776,0.413,80.388,81.466,77.083
79.382,1.135,77.371,80.388,77.5
80.69,0.694,79.813,81.537,67.083
79.713,0.766,78.664,80.603,75.0
80.517,0.69,79.741,81.466,60.417
81.466,0.974,80.029,82.759,29.167
80.977,0.929,79.598,82.04,60.0
80.359,0.29,79.957,80.747,80.417
81.437,0.67,80.675,82.543,23.333
81.408,0.629,80.675,82.328,30.0
81.092,0.8,80.388,82.615,46.667
79.986,1.244,78.52,81.466,48.333
80.876,0.434,80.244,81.609,40.0
81.351,0.435,80.819,82.112,46.25
80.8,0.868,79.59,81.949,51.5
