mean,std,min,max,all
81.293,1.39,79.526,83.118,78.75
82.112,0.545,81.322,82.759,35.0
81.207,0.437,80.747,81.968,63.75
81.595,1.224,80.244,83.477,85.417
80.963,0.562,79.885,81.466,40.833
82.888,0.667,82.328,84.124,38.75
81.724,1.535,79.741,84.267,64.583
80.934,1.602,78.161,82.902,77.083
82.658,0.801,81.609,84.052,20.417
81.925,0.726,81.106,83.261,44.167
82.284,0.666,81.394,83.046,32.083
80.431,0.89,79.67,82.112,66.25
82.184,0.86,80.963,83.118,20.833
82.299,0.753,81.466,83.405,32.917
81.437,1.456,80.172,84.267,78.333
81.767,0.718,80.963,83.118,50.0
81.695,1.698,79.239,83.621,70.417
81.193,0.531,80.388,81.897,82.917
81.667,1.103,79.885,83.118,58.75
81.336,0.749,80.46,82.687,76.25
81.106,1.163,79.67,82.687,62.5
82.227,0.956,80.891,83.118,33.333
82.284,1.197,81.25,84.626,62.917
81.408,0.733,80.532,82.687,75.0
82.184,1.187,81.178,84.411,34.583
81.652,1.35,80.244,83.764,18.333
82.945,0.699,81.897,83.836,44.167
81.264,0.993,79.454,82.184,50.417
82.385,0.998,81.106,83.549,43.333
81.997,1.433,79.885,83.98,46.25
81.768,0.987,80.513,83.221,52.944
