m1,m2,m3,m4,m5,m6
79.741,74.397,73.793,76.552,64.483,67.155
80.086,75.517,75.517,75.0,66.638,67.328
79.828,75.345,75.69,77.155,65.517,67.931
80.259,74.31,74.914,75.862,65.517,66.034
79.914,76.552,76.81,77.069,65.603,67.672
81.724,76.983,75.862,76.81,66.983,67.241
80.259,75.172,75.345,76.552,66.983,66.638
79.828,75.086,75.431,76.466,65.862,66.379
80.259,77.155,77.155,77.069,66.983,67.845
79.397,75.948,76.207,75.862,67.759,66.638
79.914,76.466,76.552,78.276,67.586,67.759
79.224,75.431,74.569,77.5,65.948,66.121
81.034,78.362,77.845,78.276,66.379,69.569
81.897,76.293,77.931,76.207,65.69,67.931
81.207,75.0,75.086,75.776,64.914,67.586
80.776,74.828,76.379,76.552,67.931,66.121
80.517,75.69,74.914,76.638,65.948,66.983
79.31,75.776,74.31,76.983,64.483,66.034
79.828,75.172,75.776,75.69,65.431,66.724
80.086,75.345,75.0,76.552,65.172,66.379
80.776,75.0,75.0,79.224,64.138,66.379
81.724,76.121,77.931,78.707,68.448,67.414
80.0,75.431,75.0,78.19,67.5,66.379
79.483,75.0,75.517,75.69,65.0,66.81
81.207,78.19,77.586,76.207,66.724,68.621
81.552,76.724,76.207,77.414,66.034,67.069
81.552,75.862,74.741,77.5,66.724,68.534
79.914,75.345,75.172,77.328,65.776,66.897
80.517,76.207,75.776,77.069,68.707,67.328
81.293,76.034,75.0,78.19,67.414,68.707
80.437,75.825,75.767,76.946,66.276,67.207
0.777,0.954,1.079,0.978,1.172,0.873
