mean,std,min,max,all
72.687,0.822,71.767,73.994,87.083
73.348,0.887,72.414,74.856,45.417
73.578,0.854,72.629,75.072,74.167
72.816,0.757,71.839,73.994,93.333
73.937,1.166,72.845,76.149,43.75
74.267,0.646,73.635,75.503,40.833
73.491,1.083,72.845,75.647,67.917
73.175,1.005,71.983,75.0,72.917
74.411,1.326,73.348,77.011,30.0
73.635,1.297,72.27,75.934,51.25
74.425,0.857,73.204,75.647,29.167
73.132,1.103,71.336,74.353,66.667
75.244,0.802,74.282,76.437,15.417
74.325,0.756,73.491,75.575,34.167
73.261,0.789,72.342,74.713,82.083
73.764,0.812,72.557,75.0,41.25
73.448,0.539,72.557,74.138,84.167
72.816,0.762,71.983,74.21,85.0
73.103,0.758,72.342,74.425,73.333
73.089,0.811,71.839,73.994,82.5
73.42,0.655,72.414,74.425,67.083
75.057,0.503,74.282,75.79,31.25
73.75,0.627,73.06,74.641,60.833
72.917,0.391,72.414,73.42,87.917
74.756,0.527,73.994,75.647,40.833
74.167,0.735,73.276,75.072,27.083
74.152,0.893,72.989,75.718,48.75
73.405,0.67,72.557,74.066,48.75
74.267,0.664,73.204,75.216,52.5
74.44,0.397,73.707,74.856,42.5
73.743,0.796,72.78,75.017,56.931
