mean,std,min,max,all
82.026,1.176,80.747,84.195,65.833
82.845,1.463,80.963,84.986,39.583
82.601,1.98,79.526,85.057,71.25
82.299,0.882,80.747,83.333,85.417
83.175,0.995,81.681,84.483,39.167
84.08,0.588,83.333,84.842,46.25
82.917,0.955,81.466,84.339,69.167
82.371,1.216,79.957,83.261,80.833
83.592,0.901,82.256,85.057,31.25
83.391,1.08,81.466,84.626,40.417
84.124,0.5,83.333,84.698,24.583
82.615,0.494,81.968,83.261,46.25
83.649,0.831,82.615,84.842,21.667
82.759,0.776,81.537,83.764,28.75
82.414,1.048,80.963,84.124,82.083
83.103,1.098,81.609,84.698,50.417
83.276,0.605,82.184,83.908,67.5
82.83,0.677,81.897,83.693,84.167
82.629,0.905,81.178,83.621,65.833
82.73,0.585,81.968,83.549,77.917
82.471,0.874,80.819,83.405,61.667
83.563,0.894,82.256,84.986,33.75
83.118,1.472,81.034,85.057,63.75
83.132,0.865,81.968,83.836,78.75
83.233,1.492,80.963,85.632,34.583
83.736,0.576,82.687,84.339,25.0
83.693,0.877,82.399,85.057,55.417
83.362,0.558,82.615,83.908,50.833
82.299,0.722,81.609,83.621,36.667
83.894,0.675,83.046,84.77,43.75
83.064,0.925,81.693,84.298,53.417
