m1,m2,m3,m4,m5,m6
86.379,75.517,85.0,85.603,76.552,80.086
84.655,80.948,85.086,85.862,79.741,76.897
85.172,79.31,86.207,88.448,77.672,78.19
86.724,78.621,86.121,86.466,75.603,77.241
86.121,79.224,85.862,87.586,73.621,79.483
87.328,80.603,84.138,86.983,78.19,79.655
84.655,82.069,83.793,88.19,74.397,77.759
86.724,74.741,84.224,86.897,77.414,79.138
86.724,78.879,82.931,88.621,78.448,78.448
87.5,80.172,84.224,85.086,77.328,78.621
86.638,81.81,87.069,88.534,77.931,78.879
85.603,80.603,85.69,89.31,73.448,78.276
85.948,80.172,85.776,88.534,77.845,82.241
88.103,77.845,84.914,88.017,76.983,76.724
87.241,78.793,84.483,87.414,76.207,79.655
86.552,80.69,86.034,86.379,77.241,75.776
85.431,82.759,84.483,86.81,76.81,76.207
86.293,81.466,84.828,86.638,75.0,79.741
87.5,78.966,85.603,87.586,77.672,77.845
83.362,80.948,83.534,85.603,78.448,78.362
86.207,77.328,85.172,85.776,77.5,77.5
87.241,80.345,87.414,88.534,78.19,77.759
86.207,78.017,83.276,89.138,78.879,79.483
84.224,79.31,84.31,87.328,76.379,80.776
87.586,82.241,83.966,87.759,78.362,80.517
87.069,80.345,87.414,88.103,78.448,79.914
86.207,78.621,84.828,88.017,78.362,78.707
87.586,78.276,83.362,88.276,76.293,78.448
86.81,80.948,83.448,89.31,76.638,75.862
86.207,81.293,85.086,87.414,77.586,78.276
86.333,79.695,84.943,87.474,77.106,78.549
1.078,1.835,1.182,1.148,1.479,1.462
