mean,std,min,max,all
81.523,1.123,80.316,83.477,82.917
82.198,0.654,81.681,83.333,32.5
82.5,1.022,81.609,84.483,71.667
81.796,1.353,80.603,84.411,88.333
81.983,0.682,80.675,82.687,42.917
82.816,0.861,81.537,84.195,43.75
81.81,1.004,80.963,83.764,64.583
81.523,0.395,81.106,82.184,74.167
82.342,0.847,81.322,83.477,30.417
82.155,0.775,80.675,82.902,50.833
83.477,1.384,81.825,85.129,28.333
82.155,0.796,80.819,83.046,50.833
83.42,0.795,82.04,84.195,20.0
82.098,0.69,81.394,83.333,34.583
82.299,1.279,81.106,84.77,74.583
82.112,0.433,81.322,82.471,46.25
82.083,1.711,79.885,84.124,68.75
82.328,1.063,81.034,84.195,75.0
82.529,1.458,80.891,84.986,60.417
81.71,0.365,81.106,82.184,75.833
81.58,1.07,80.029,82.974,67.5
83.247,1.346,80.891,84.698,31.667
82.5,1.153,80.819,83.98,60.417
82.055,0.632,81.034,82.83,76.25
83.405,1.108,81.25,84.411,29.167
83.549,0.512,82.543,83.98,24.167
82.457,0.769,81.034,83.333,53.333
82.04,1.228,80.388,83.836,45.417
82.17,0.316,81.753,82.471,42.083
82.644,0.469,81.753,83.046,37.917
82.35,0.91,81.113,83.63,52.819
