m1,m2,m3,m4,m5,m6
75.69,70.172,63.276,64.828,55.431,56.897
76.466,72.155,64.31,64.138,55.69,57.414
75.776,70.603,65.862,64.224,54.483,57.5
75.603,71.034,63.879,64.224,53.621,56.034
75.603,72.5,66.121,65.69,57.672,57.845
77.5,72.241,65.0,64.828,56.293,59.052
75.776,70.862,63.534,64.741,55.431,58.621
75.517,71.293,62.845,65.862,53.966,56.897
76.552,73.448,68.793,65.948,56.121,59.224
75.776,71.552,65.776,65.776,56.983,58.793
76.466,73.103,66.897,66.897,57.414,59.741
75.776,71.638,64.828,68.017,52.5,57.5
77.672,73.879,66.638,67.586,55.948,59.914
78.103,72.5,66.034,65.69,54.397,59.914
76.897,69.569,63.19,64.741,53.448,57.672
77.069,70.0,63.621,65.603,55.517,57.931
76.466,71.81,62.931,64.655,53.534,56.379
76.379,69.483,62.586,65.776,52.586,57.241
76.379,70.517,63.621,65.259,54.569,58.017
76.121,70.603,63.621,65.345,53.621,56.724
76.466,71.121,64.224,66.81,52.5,57.845
77.845,71.379,66.724,69.914,55.776,57.5
75.862,70.948,64.483,66.983,54.31,57.845
75.603,70.517,62.586,65.172,53.966,57.845
76.724,73.879,66.121,65.086,56.207,60.517
78.19,72.845,65.948,67.155,54.914,59.224
75.776,70.776,65.69,66.983,55.086,58.793
76.121,69.138,65.862,69.483,57.155,58.534
77.586,71.638,64.138,67.931,57.5,57.586
77.069,71.207,64.397,67.328,53.103,59.741
76.494,71.414,64.785,66.089,54.991,58.158
0.796,1.226,1.502,1.466,1.511,1.12
