mean,std,min,max,all
64.382,0.743,63.362,65.589,74.167
65.029,0.757,63.578,65.661,56.667
64.741,0.373,64.296,65.374,77.083
64.066,0.697,63.147,65.302,93.75
65.905,0.616,65.086,66.81,32.083
65.819,0.743,64.871,67.026,37.917
64.828,0.491,63.937,65.374,63.75
64.397,0.812,63.937,66.02,88.333
66.681,1.111,65.589,68.606,38.333
65.776,1.256,64.727,68.247,38.75
66.753,0.88,65.805,68.391,25.0
65.043,1.111,63.29,66.595,65.0
66.94,0.808,65.661,68.032,17.917
66.106,1.141,64.511,68.032,28.75
64.253,0.465,63.578,65.014,81.667
64.957,1.424,63.003,66.739,38.333
64.296,0.625,63.434,65.086,88.75
64.009,0.909,62.5,65.086,78.333
64.727,1.159,63.003,65.876,75.0
64.339,1.086,62.5,65.733,82.083
64.828,0.954,63.434,65.805,62.917
66.523,1.079,64.943,67.96,30.0
65.072,0.899,63.865,66.307,63.333
64.282,1.337,62.644,65.805,85.0
66.422,1.342,64.583,68.463,29.167
66.379,1.097,64.871,67.816,27.083
65.517,1.414,63.649,67.17,40.417
66.049,1.035,64.44,67.098,47.917
66.063,0.829,64.943,66.954,49.583
65.474,0.897,64.08,66.379,49.167
65.322,0.936,64.042,66.612,55.542
