m1,m2,m3,m4,m5,m6
97.5,97.5,95.0,97.5,100.0,100.0
97.5,70.0,97.5,100.0,75.0,92.5
90.0,95.0,100.0,100.0,97.5,100.0
90.0,100.0,92.5,100.0,90.0,92.5
77.5,85.0,90.0,95.0,87.5,85.0
72.5,52.5,80.0,90.0,82.5,57.5
92.5,90.0,97.5,100.0,87.5,80.0
95.0,97.5,100.0,95.0,97.5,97.5
80.0,90.0,82.5,80.0,90.0,90.0
80.0,87.5,85.0,97.5,75.0,92.5
85.0,70.0,82.5,75.0,67.5,70.0
100.0,100.0,100.0,100.0,100.0,100.0
92.5,90.0,80.0,85.0,75.0,80.0
97.5,77.5,95.0,92.5,92.5,87.5
92.5,100.0,100.0,100.0,100.0,100.0
97.5,97.5,95.0,100.0,95.0,95.0
97.5,100.0,97.5,97.5,90.0,95.0
100.0,100.0,100.0,100.0,100.0,100.0
95.0,92.5,100.0,100.0,92.5,90.0
90.0,92.5,100.0,97.5,95.0,95.0
100.0,100.0,92.5,100.0,92.5,92.5
72.5,85.0,90.0,82.5,77.5,60.0
97.5,100.0,100.0,90.0,100.0,92.5
97.5,97.5,92.5,97.5,95.0,90.0
75.0,87.5,95.0,95.0,100.0,67.5
85.0,85.0,97.5,95.0,95.0,70.0
90.0,87.5,95.0,90.0,87.5,75.0
97.5,95.0,100.0,97.5,100.0,90.0
82.5,95.0,100.0,95.0,97.5,87.5
60.0,77.5,85.0,92.5,90.0,62.5
89.25,89.833,93.917,94.583,90.833,86.25
10.003,10.991,6.509,6.458,8.905,12.546
