mean,std,min,max
97.917,2.282,93.75,100.0
88.75,1.667,87.5,91.667
97.083,1.667,95.833,100.0
94.167,2.43,91.667,97.917
86.667,3.118,81.25,89.583
72.5,4.449,68.75,81.25
91.25,4.04,85.417,95.833
97.083,1.021,95.833,97.917
85.417,2.282,81.25,87.5
86.25,6.667,75.0,93.75
75.0,8.64,62.5,83.333
100.0,0.0,100.0,100.0
83.75,4.449,79.167,91.667
90.417,5.035,83.333,97.917
98.75,2.5,93.75,100.0
96.667,3.864,89.583,100.0
96.25,1.559,93.75,97.917
100.0,0.0,100.0,100.0
95.0,3.385,91.667,100.0
95.0,2.826,91.667,97.917
96.25,2.041,93.75,97.917
77.917,6.667,68.75,87.5
96.667,2.5,93.75,100.0
95.0,3.864,89.583,100.0
86.667,3.864,81.25,91.667
87.917,2.43,83.333,89.583
87.5,3.486,83.333,93.75
96.667,2.125,93.75,100.0
92.917,1.667,91.667,95.833
77.917,5.98,68.75,85.417
90.778,3.217,86.319,94.861
