m1,m2,m3,m4,m5,m6
97.5,97.5,95.0,100.0,100.0,97.5
87.5,75.0,95.0,100.0,77.5,85.0
92.5,92.5,97.5,100.0,90.0,92.5
97.5,97.5,92.5,100.0,85.0,92.5
85.0,82.5,87.5,92.5,82.5,77.5
77.5,42.5,67.5,85.0,72.5,57.5
87.5,92.5,95.0,95.0,90.0,85.0
90.0,97.5,97.5,97.5,90.0,95.0
82.5,80.0,75.0,62.5,82.5,85.0
82.5,80.0,82.5,92.5,72.5,75.0
85.0,65.0,62.5,67.5,57.5,55.0
97.5,97.5,97.5,100.0,97.5,97.5
85.0,77.5,77.5,82.5,80.0,85.0
85.0,62.5,90.0,80.0,75.0,85.0
85.0,100.0,100.0,95.0,97.5,95.0
97.5,97.5,100.0,97.5,92.5,95.0
97.5,95.0,97.5,92.5,92.5,90.0
95.0,100.0,100.0,100.0,100.0,100.0
97.5,90.0,100.0,100.0,90.0,90.0
97.5,95.0,97.5,97.5,90.0,95.0
95.0,90.0,90.0,95.0,92.5,87.5
80.0,77.5,80.0,72.5,70.0,75.0
95.0,100.0,100.0,90.0,92.5,85.0
95.0,92.5,90.0,95.0,85.0,80.0
85.0,87.5,90.0,97.5,97.5,67.5
77.5,85.0,90.0,90.0,95.0,67.5
82.5,77.5,95.0,90.0,70.0,65.0
95.0,100.0,97.5,97.5,92.5,90.0
82.5,97.5,95.0,90.0,95.0,82.5
65.0,80.0,82.5,87.5,77.5,67.5
88.5,86.833,90.583,91.417,86.083,83.25
7.921,13.196,9.697,9.654,10.422,11.975
