mean,std,min,max
97.917,2.282,93.75,100.0
86.667,2.5,83.333,89.583
94.167,3.584,89.583,100.0
94.167,2.041,91.667,97.917
84.583,5.98,72.917,89.583
67.083,7.144,62.5,81.25
90.833,4.082,83.333,93.75
94.583,1.021,93.75,95.833
77.917,2.826,72.917,81.25
80.833,4.04,77.083,87.5
65.417,7.046,54.167,72.917
97.917,0.0,97.917,97.917
81.25,5.103,72.917,87.5
79.583,7.022,72.917,91.667
95.417,4.249,89.583,100.0
96.667,3.632,89.583,100.0
94.167,4.04,89.583,100.0
99.167,1.021,97.917,100.0
94.583,3.864,87.5,97.917
95.417,4.04,89.583,100.0
91.667,4.751,85.417,97.917
75.833,5.683,70.833,85.417
93.75,2.946,89.583,97.917
89.583,5.103,81.25,95.833
87.5,4.564,81.25,93.75
84.167,2.125,81.25,87.5
80.0,3.632,75.0,85.417
95.417,3.333,89.583,97.917
90.417,5.368,81.25,97.917
76.667,2.041,75.0,79.167
87.778,3.835,82.431,92.778
