m1,m2,m3,m4,m5,m6
97.5,97.5,95.0,100.0,97.5,95.0
82.5,70.0,90.0,97.5,72.5,85.0
95.0,95.0,92.5,97.5,95.0,95.0
87.5,97.5,95.0,100.0,87.5,90.0
85.0,87.5,82.5,97.5,82.5,82.5
82.5,52.5,77.5,82.5,75.0,60.0
87.5,90.0,92.5,95.0,82.5,85.0
95.0,95.0,97.5,97.5,92.5,95.0
82.5,85.0,82.5,67.5,87.5,85.0
82.5,70.0,82.5,85.0,75.0,85.0
82.5,67.5,70.0,72.5,65.0,67.5
97.5,97.5,100.0,100.0,100.0,100.0
87.5,77.5,72.5,82.5,75.0,80.0
95.0,72.5,95.0,90.0,85.0,80.0
90.0,100.0,97.5,97.5,92.5,95.0
97.5,97.5,95.0,97.5,95.0,97.5
100.0,92.5,95.0,92.5,92.5,95.0
100.0,97.5,100.0,100.0,100.0,100.0
95.0,92.5,100.0,92.5,90.0,92.5
97.5,90.0,95.0,97.5,92.5,92.5
85.0,100.0,92.5,92.5,90.0,87.5
82.5,80.0,90.0,82.5,62.5,72.5
97.5,92.5,95.0,85.0,92.5,90.0
92.5,87.5,92.5,95.0,85.0,87.5
70.0,82.5,95.0,92.5,95.0,72.5
65.0,87.5,95.0,90.0,92.5,80.0
80.0,82.5,90.0,90.0,82.5,65.0
95.0,95.0,100.0,95.0,92.5,97.5
87.5,97.5,97.5,92.5,97.5,75.0
75.0,75.0,85.0,92.5,82.5,60.0
88.333,86.833,91.333,91.667,86.917,84.833
8.74,11.528,7.792,7.862,9.654,11.382
