mean,std,min,max
97.083,2.125,93.75,100.0
82.917,4.04,75.0,85.417
95.0,4.677,87.5,100.0
92.917,2.826,89.583,95.833
86.25,4.488,79.167,91.667
71.667,7.046,62.5,79.167
88.75,3.864,83.333,93.75
95.417,3.062,89.583,97.917
81.667,7.383,75.0,95.833
80.0,4.29,72.917,85.417
70.833,6.18,64.583,81.25
99.167,1.021,97.917,100.0
79.167,7.683,68.75,89.583
86.25,3.118,83.333,91.667
95.417,2.764,91.667,100.0
96.667,2.5,93.75,100.0
94.583,2.5,89.583,95.833
99.583,0.833,97.917,100.0
93.75,4.564,87.5,100.0
94.167,0.833,93.75,95.833
91.25,3.333,87.5,95.833
78.333,7.75,66.667,87.5
92.083,2.041,89.583,95.833
90.0,4.64,83.333,97.917
84.583,3.864,77.083,87.5
85.0,2.041,81.25,87.5
81.667,6.095,72.917,91.667
95.833,1.318,93.75,97.917
91.25,1.559,89.583,93.75
78.333,2.826,75.0,83.333
88.319,3.709,83.125,93.264
