m1,m2,m3,m4,m5,m6
100.0,97.5,97.5,100.0,100.0,97.5
90.0,67.5,92.5,100.0,85.0,87.5
97.5,95.0,97.5,97.5,90.0,92.5
95.0,97.5,95.0,100.0,85.0,92.5
92.5,85.0,90.0,90.0,72.5,85.0
82.5,45.0,67.5,82.5,67.5,52.5
95.0,92.5,90.0,100.0,80.0,75.0
92.5,100.0,97.5,95.0,95.0,95.0
85.0,80.0,65.0,72.5,75.0,77.5
87.5,75.0,87.5,97.5,70.0,90.0
87.5,62.5,67.5,72.5,62.5,55.0
100.0,100.0,100.0,97.5,95.0,95.0
85.0,75.0,72.5,70.0,72.5,77.5
97.5,72.5,87.5,92.5,85.0,85.0
95.0,100.0,100.0,100.0,95.0,97.5
97.5,95.0,100.0,97.5,90.0,95.0
100.0,95.0,97.5,92.5,92.5,90.0
100.0,100.0,100.0,100.0,97.5,100.0
95.0,90.0,97.5,100.0,90.0,90.0
95.0,92.5,100.0,97.5,90.0,92.5
97.5,100.0,92.5,82.5,92.5,92.5
85.0,82.5,90.0,77.5,65.0,67.5
92.5,97.5,97.5,85.0,95.0,90.0
92.5,95.0,90.0,95.0,85.0,82.5
87.5,82.5,85.0,87.5,97.5,65.0
80.0,85.0,90.0,90.0,97.5,67.5
82.5,82.5,90.0,90.0,72.5,70.0
95.0,95.0,100.0,97.5,95.0,87.5
90.0,97.5,95.0,97.5,92.5,85.0
60.0,77.5,85.0,95.0,82.5,55.0
91.083,87.083,90.583,91.75,85.5,82.833
8.106,13.072,9.993,8.948,10.79,13.35
