mean,std,min,max
98.75,1.021,97.917,100.0
87.083,3.062,83.333,91.667
95.0,3.864,89.583,100.0
94.167,1.559,91.667,95.833
85.833,3.584,81.25,91.667
66.25,6.236,58.333,77.083
88.75,2.826,83.333,91.667
95.833,2.946,91.667,100.0
75.833,3.385,70.833,79.167
84.583,3.385,79.167,89.583
67.917,7.407,56.25,79.167
97.917,0.0,97.917,97.917
75.417,5.0,66.667,81.25
86.667,6.124,79.167,95.833
97.917,2.282,93.75,100.0
95.833,1.318,93.75,97.917
94.583,3.632,91.667,100.0
99.583,0.833,97.917,100.0
93.75,2.282,91.667,97.917
94.583,3.118,91.667,100.0
92.917,3.632,87.5,97.917
77.917,2.125,75.0,81.25
92.917,2.125,89.583,95.833
90.0,4.249,85.417,97.917
84.167,5.204,79.167,93.75
85.0,6.509,75.0,93.75
81.25,9.501,66.667,95.833
95.0,4.29,87.5,100.0
92.917,2.826,89.583,97.917
75.833,6.535,64.583,83.333
88.139,3.695,82.917,93.472
