m1,m2,m3,m4,m5,m6
100.0,97.5,95.0,95.0,97.5,97.5
95.0,60.0,90.0,97.5,67.5,80.0
92.5,90.0,92.5,100.0,90.0,85.0
95.0,97.5,92.5,100.0,85.0,90.0
85.0,82.5,87.5,97.5,85.0,85.0
85.0,47.5,75.0,85.0,80.0,52.5
90.0,92.5,87.5,100.0,87.5,67.5
92.5,92.5,95.0,97.5,92.5,97.5
85.0,85.0,75.0,75.0,75.0,85.0
82.5,75.0,82.5,97.5,72.5,92.5
90.0,65.0,75.0,82.5,60.0,72.5
100.0,97.5,100.0,95.0,97.5,90.0
87.5,80.0,80.0,85.0,75.0,85.0
100.0,82.5,87.5,90.0,82.5,85.0
92.5,100.0,95.0,100.0,90.0,87.5
100.0,97.5,97.5,100.0,92.5,90.0
97.5,90.0,92.5,97.5,92.5,92.5
100.0,100.0,100.0,97.5,100.0,100.0
95.0,90.0,95.0,100.0,90.0,95.0
100.0,92.5,97.5,95.0,90.0,95.0
95.0,95.0,92.5,92.5,90.0,90.0
87.5,72.5,87.5,85.0,72.5,55.0
90.0,95.0,100.0,87.5,97.5,87.5
90.0,92.5,87.5,92.5,85.0,82.5
75.0,90.0,90.0,97.5,95.0,67.5
82.5,80.0,90.0,92.5,97.5,90.0
92.5,77.5,85.0,95.0,77.5,67.5
92.5,95.0,100.0,97.5,92.5,90.0
82.5,95.0,95.0,92.5,92.5,90.0
75.0,77.5,82.5,87.5,80.0,65.0
90.917,86.167,90.083,93.583,86.083,83.667
6.997,12.412,7.317,6.214,9.804,12.175
