mean,std,min,max
97.083,2.826,91.667,100.0
81.667,2.43,77.083,83.333
91.667,4.564,83.333,95.833
93.333,2.43,89.583,95.833
87.083,1.559,85.417,89.583
70.833,6.588,60.417,79.167
87.5,2.946,83.333,91.667
94.583,3.385,89.583,100.0
80.0,2.826,75.0,83.333
83.75,5.0,79.167,91.667
74.167,8.396,60.417,85.417
96.667,1.667,93.75,97.917
82.083,3.385,77.083,87.5
87.917,5.336,81.25,95.833
94.167,4.823,87.5,100.0
96.25,3.819,91.667,100.0
93.75,3.486,89.583,97.917
99.583,0.833,97.917,100.0
94.167,1.559,91.667,95.833
95.0,3.118,91.667,100.0
92.5,4.677,83.333,95.833
76.667,3.333,70.833,79.167
92.917,2.125,89.583,95.833
88.333,7.862,75.0,97.917
85.833,3.333,81.25,89.583
88.75,3.864,81.25,91.667
82.5,4.29,77.083,89.583
94.583,4.677,85.417,97.917
91.25,4.249,85.417,97.917
77.917,5.833,66.667,83.333
88.417,3.841,82.431,92.986
